time,left_arm,right_arm,left_leg,right_leg
2019-07-11 13:33:58,1.4673,0.8925,0.9338,1.0387
2019-07-11 13:33:51,1.1842,0.9772,0.9735,1.0216
2019-07-11 13:33:48,1.0356,1.3872,0.9679,0.9996
2019-07-11 13:33:44,1.0887,1.022,0.9702,1.0157
2019-07-11 13:33:43,1.0632,0.9647,0.9779,1.0281
2019-07-11 13:33:34,1.0248,0.997,0.9784,1.012
2019-07-11 13:33:31,1.0393,0.9856,0.9737,1.016
2019-07-11 13:33:24,0.9698,0.9925,0.9681,1.0483
2019-07-11 13:33:19,1.1647,0.9795,0.973,1.0366
2019-07-11 13:33:15,1.084,0.9543,0.9725,1.0429
2019-07-11 13:33:13,1.0418,0.9837,0.9741,1.0462
2019-07-11 13:33:03,1.1027,0.9591,0.976,1.0421
2019-07-11 13:33:00,1.2072,0.9981,0.8903,1.0147
2019-07-11 13:32:58,0.976,1.0645,0.9989,0.9412
2019-07-11 13:32:57,0.9365,1.0142,0.9856,0.9737
2019-07-11 13:32:51,1.0148,0.9049,1.0223,1.0207
