time,left_arm,right_arm,left_leg,right_leg
2019-07-13 16:44:37,1.3881,1.2021,0.9913,1.1053
2019-07-13 16:44:35,1.0712,1.0954,1.0173,1.1892
2019-07-13 16:44:34,1.1161,1.1505,1.0185,1.5352
2019-07-13 16:44:33,1.5071,0.3807,0.9479,0.9991
2019-07-13 16:44:32,1.0425,1.078,0.9941,1.0619
2019-07-13 16:44:31,1.078,0.9458,0.9955,1.0608
2019-07-13 16:44:30,1.1455,1.1101,0.9977,1.0668
2019-07-13 16:44:29,1.0745,0.9107,1.1525,0.9746
2019-07-13 16:44:28,1.0816,1.1197,0.9846,1.0407
2019-07-13 16:44:27,1.041,0.9836,1.0004,1.0664
2019-07-13 16:44:26,1.2874,1.1923,1.0435,1.0328
2019-07-13 16:44:25,1.0816,1.0467,0.9941,1.0922
2019-07-13 16:44:24,1.0576,0.9388,1.0213,1.0689
2019-07-13 16:44:21,0.8821,1.2127,0.9815,1.0468
2019-07-13 16:44:20,1.0988,0.9686,0.9802,1.016
2019-07-13 16:44:19,1.1389,1.0178,0.9817,1.0926
2019-07-13 16:44:16,0.8315,1.127,0.9547,1.0553
2019-07-13 16:44:15,1.079,1.1197,0.9751,1.0023
2019-07-13 16:44:13,1.0868,1.1162,0.9597,0.9817
2019-07-13 16:44:12,1.0523,1.1341,0.963,0.9787
2019-07-13 16:44:09,1.2107,1.1821,0.9663,0.9674
2019-07-13 16:44:08,1.1931,1.099,0.9621,0.9278
2019-07-13 16:44:05,1.0477,1.0904,0.9501,0.9721
2019-07-13 16:44:04,1.1145,1.0594,0.9529,1.0102
2019-07-13 16:44:03,1.0455,1.1028,0.9739,0.9734
2019-07-13 16:44:00,1.0988,1.0781,0.9591,0.975
2019-07-13 16:43:59,0.8698,1.0481,0.9603,0.9793
2019-07-13 16:43:58,1.0116,1.0474,0.9609,0.9648
2019-07-13 16:43:53,1.0389,1.0543,0.968,0.9599
2019-07-13 16:43:52,1.0464,1.0448,0.961,0.9652
2019-07-13 16:43:51,1.0591,1.0624,0.9578,0.9599
2019-07-13 16:43:48,1.0399,1.0762,0.9854,0.9559
2019-07-13 16:43:47,1.0528,1.0693,0.9646,0.9646
2019-07-13 16:43:46,1.0674,1.06,0.965,0.9664
2019-07-13 16:43:44,1.0657,1.0684,0.9559,0.9411
2019-07-13 16:43:43,1.0701,1.0783,0.9582,0.9471
2019-07-13 16:43:42,1.0358,1.086,0.9662,0.9644
2019-07-13 16:43:39,1.1016,1.1115,0.9626,0.9186
2019-07-13 16:43:38,1.0645,1.0488,0.9619,0.9976
