time,left_arm,right_arm,left_leg,right_leg
2019-07-27 21:08:01,0.9638,0.8059,0.8967,1.1464
2019-07-27 21:07:57,1.0257,0.734,0.483,2.1893
2019-07-27 21:07:56,1.4435,1.1662,0.9544,1.6747
2019-07-27 21:07:55,1.2142,1.0547,0.9378,1.0908
2019-07-27 21:07:54,1.508,1.0679,1.2745,1.043
2019-07-27 21:07:53,1.2089,1.0869,0.8421,1.1386
2019-07-27 21:07:52,1.3464,0.865,1.0246,0.9025
2019-07-27 21:07:49,1.3666,1.0602,1.0385,1.6886
2019-07-27 21:07:47,0.8959,1.574,0.997,1.2689
2019-07-27 21:07:46,0.0,0.6631,1.0004,1.0627
2019-07-27 21:07:43,1.252,0.9275,0.3226,1.0422
2019-07-27 21:07:42,0.9986,0.8175,0.9677,1.043
2019-07-27 21:07:41,0.9391,0.8836,0.9949,1.0624
2019-07-27 21:07:38,0.895,0.9142,0.9842,1.0498
2019-07-27 21:07:37,0.9681,0.8726,0.9888,1.0508
2019-07-27 21:07:32,0.9977,0.8635,0.9727,1.0328
2019-07-27 21:07:29,1.1626,0.7355,1.053,1.1407
2019-07-27 21:07:28,0.6111,0.8746,1.7415,1.1104
2019-07-27 21:07:26,0.7595,1.0428,0.6704,1.3018
2019-07-27 21:07:19,0.7752,1.4558,0.9815,1.0352
2019-07-27 21:07:16,1.5702,0.9096,1.0034,1.0546
2019-07-27 21:07:15,1.2402,1.3906,0.9959,1.0452
2019-07-27 21:07:14,2.5929,1.7192,1.0607,1.0314
2019-07-27 21:07:13,1.9794,1.3611,1.0,1.0302
2019-07-27 21:07:10,0.6068,1.5033,1.0779,1.073
2019-07-27 21:07:09,0.0,1.0043,0.9736,1.0845
2019-07-27 21:07:05,0.9034,0.8351,0.7946,0.8362
2019-07-27 21:07:03,1.0196,0.9758,1.2698,1.1456
2019-07-27 21:07:02,0.9179,0.8072,0.9459,1.333
2019-07-27 21:07:01,1.1287,0.8511,2.159,0.6042
2019-07-27 21:07:00,1.0637,0.8816,1.0433,1.0554
2019-07-27 21:06:57,0.9795,0.9001,0.9651,0.9085
