time,left_arm,right_arm,left_leg,right_leg
2019-07-13 17:01:03,1.1311,1.2684,1.1249,1.1646
2019-07-13 17:01:02,1.0166,0.9369,0.9978,1.0811
2019-07-13 17:01:01,0.8879,0.9367,1.0065,1.0885
2019-07-13 17:00:59,1.0648,0.9435,1.0001,1.0939
2019-07-13 17:00:59,1.1379,1.0837,1.014,1.0701
2019-07-13 17:00:58,0.9458,1.1469,0.9348,1.0712
2019-07-13 17:00:56,1.0007,0.7995,1.057,1.2884
2019-07-13 17:00:53,1.0897,1.2829,1.0513,1.1073
2019-07-13 17:00:52,0.8336,1.3108,0.9679,1.0588
2019-07-13 17:00:51,1.2686,0.2972,0.975,1.0924
2019-07-13 17:00:50,0.8493,0.9341,0.9823,0.8354
2019-07-13 17:00:49,1.0592,0.8916,1.0418,1.0617
2019-07-13 17:00:48,1.0586,1.2377,1.046,1.6983
2019-07-13 17:00:47,0.9097,0.9603,0.9807,1.0534
2019-07-13 17:00:46,0.9686,1.1474,0.9452,1.1319
2019-07-13 17:00:45,0.9764,0.9005,1.0464,0.9703
2019-07-13 17:00:43,1.0663,0.9855,1.0157,1.0377
2019-07-13 17:00:43,0.9628,0.9642,1.1289,1.0717
2019-07-13 17:00:42,0.9809,0.9463,1.0156,1.074
2019-07-13 17:00:41,1.0372,0.9439,1.0098,1.0842
2019-07-13 17:00:39,0.8594,0.8628,0.9017,1.0362
2019-07-13 17:00:38,0.9882,0.9085,0.9236,0.9091
2019-07-13 17:00:37,0.7799,0.9616,1.0258,1.0561
2019-07-13 17:00:35,0.9547,0.7697,0.909,1.008
2019-07-13 17:00:32,0.9538,1.0674,0.9886,1.0864
2019-07-13 17:00:31,0.8909,0.9628,0.9364,1.0745
2019-07-13 17:00:30,0.9788,0.9842,1.0005,1.0946
2019-07-13 17:00:29,0.9716,0.9849,0.9934,1.1055
2019-07-13 17:00:28,0.9591,1.1367,1.0183,1.0128
2019-07-13 17:00:26,0.8868,0.9545,1.0051,1.0873
2019-07-13 17:00:24,0.9954,0.9125,0.9682,1.3195
2019-07-13 17:00:23,1.002,0.8732,0.9982,0.99
2019-07-13 17:00:22,0.928,1.1843,1.0367,1.0249
2019-07-13 17:00:20,0.4828,0.9429,1.136,1.1715
