time,left_arm,right_arm,left_leg,right_leg
2019-07-11 12:20:33,0.8902,1.1706,1.0156,0.7765
2019-07-11 12:20:32,1.1158,1.1282,1.142,1.191
2019-07-11 12:20:31,0.9932,1.0013,1.1023,1.1533
2019-07-11 12:20:29,0.9676,0.9962,1.0014,1.0452
2019-07-11 12:20:28,0.9357,0.9646,1.0069,1.0014
2019-07-11 12:20:27,1.0045,1.0799,0.982,0.9999
2019-07-11 12:20:26,0.9401,0.984,1.0453,0.9477
2019-07-11 12:20:25,1.0173,1.1017,0.9139,0.9558
2019-07-11 12:20:24,0.9415,1.0977,1.0583,1.1183
2019-07-11 12:20:21,0.9799,1.1599,1.0559,0.9677
2019-07-11 12:20:20,0.9546,1.0735,1.0215,1.1266
2019-07-11 12:20:19,0.9847,1.032,0.9994,1.0921
2019-07-11 12:20:17,0.975,1.0674,0.9465,1.0677
2019-07-11 12:20:16,0.9703,1.0457,0.9842,1.1204
2019-07-11 12:20:15,0.9655,0.9823,0.9742,1.0618
2019-07-11 12:20:14,0.974,1.0747,1.011,1.0118
2019-07-11 12:20:13,1.0049,1.0007,0.9903,1.0236
2019-07-11 12:20:11,0.9081,0.9856,1.0414,1.0648
2019-07-11 12:20:09,1.1162,1.0025,0.9535,1.0664
2019-07-11 12:20:08,0.9964,0.9145,0.9357,0.9323
2019-07-11 12:20:07,0.9334,1.0254,0.9881,1.0481
2019-07-11 12:20:03,0.9843,1.0285,0.7544,1.1673
2019-07-11 12:20:00,1.1081,1.051,0.9651,0.9788
2019-07-11 12:19:58,1.0833,1.2248,1.1055,0.9689
2019-07-11 12:19:57,1.0195,0.888,1.0044,0.9819
2019-07-11 12:19:56,0.9446,1.0058,0.9922,0.9242
