30,12,51021,384000,13.28671875,10.839992591660524
30,12,51034,384000,13.290104166666666,10.840247356249623
13,11,34663,384000,9.026822916666667,10.453428114630672
13,11,34635,384000,9.01953125,10.452620010456705
9,7,151221,384000,39.38046875,11.92649762197229
9,7,139773,384000,36.39921875,11.847774957082049
9,7,26911,384000,7.008072916666666,10.200290403937228
9,7,139882,384000,36.42760416666667,11.848554489044785
9,7,131106,384000,34.1421875,11.783761435294922
9,7,26265,384000,6.839843750000001,10.175992533388062
9,7,26397,384000,6.87421875,10.18100564631367
30,12,50415,384000,13.12890625,10.828044028827316
30,12,25729,384000,6.700260416666666,10.155374039382549
30,12,50416,384000,13.129166666666666,10.828063863997055
