13,11,53587,384000,13.954947916666665,10.88906178032853
13,11,59615,384000,15.524739583333332,10.995662499240233
30,12,202554,384000,52.7484375,12.218761796646161
30,12,83499,384000,21.744531249999998,11.33258993471933
54,15,204672,384000,53.300000000000004,12.229163976753572
54,15,90442,384000,23.552604166666665,11.412464040256195
75,17,105929,384000,27.585677083333334,11.570524337349626
75,17,174406,384000,45.41822916666667,12.069141193534948
94,22,153682,384000,40.02135416666667,11.942640811412936
9,7,44234,384000,11.519270833333334,10.697249003128666
9,7,217890,384000,56.7421875,12.291745627268323
