time,left_arm,right_arm,left_leg,right_leg
2019-07-26 14:56:57,1.0222,1.0516,0.9795,0.9593
2019-07-26 14:56:55,1.1192,1.0649,0.9848,0.9505
2019-07-26 14:56:54,1.1611,1.0453,0.9825,0.9455
2019-07-26 14:56:53,1.0173,1.0445,0.9772,0.9498
2019-07-26 14:56:51,1.1577,1.0536,0.9901,0.9425
2019-07-26 14:56:45,1.0764,1.0735,0.9939,0.9713
2019-07-26 14:56:39,1.0561,1.055,0.9918,0.9495
2019-07-26 14:56:37,1.1128,1.0547,0.9825,0.9586
2019-07-26 14:56:32,1.0249,1.0677,0.9886,0.9557
2019-07-26 14:56:29,1.1403,1.8062,0.9644,0.831
2019-07-26 14:56:28,0.0,0.9831,0.9898,0.9528
2019-07-26 14:56:26,1.486,1.8224,0.994,0.8501
2019-07-26 14:56:25,0.3265,1.3865,0.9847,0.9476
2019-07-26 14:56:24,0.9532,1.0036,0.9937,0.8718
2019-07-26 14:56:23,1.3246,0.9871,0.9847,0.9345
2019-07-26 14:56:22,1.155,0.9507,0.9739,0.9401
2019-07-26 14:56:21,2.1136,1.0091,0.9903,0.9313
2019-07-26 14:56:20,1.1997,1.0071,0.9882,0.9296
2019-07-26 14:56:18,1.0162,1.0417,0.9828,0.9351
2019-07-26 14:56:17,0.9987,1.0109,0.9793,0.9265
2019-07-26 14:56:16,1.0136,1.0071,0.9662,0.9187
2019-07-26 14:56:14,1.0299,0.9527,0.9958,0.9394
2019-07-26 14:56:13,1.0283,0.9679,0.9978,0.9251
2019-07-26 14:56:13,1.0112,0.9386,0.9903,0.9455
