time,left_arm,right_arm,left_leg,right_leg
2019-07-13 16:56:59,0.9256,1.0106,0.9831,0.9864
2019-07-13 16:56:58,0.9878,1.3671,0.9677,1.0977
2019-07-13 16:56:57,1.053,1.9833,0.8954,1.0715
2019-07-13 16:56:56,2.874,0.4469,1.0034,1.1002
2019-07-13 16:56:55,1.4419,1.4227,1.0106,1.0821
2019-07-13 16:56:52,1.1218,0.9888,0.9463,0.97
2019-07-13 16:56:51,1.6381,1.21,0.9823,1.0352
2019-07-13 16:56:50,0.8877,1.408,0.9563,1.0875
2019-07-13 16:56:48,1.0483,1.1277,1.0359,1.0515
2019-07-13 16:56:45,1.0248,0.9892,1.0022,1.0284
2019-07-13 16:56:40,1.0527,1.014,1.0453,1.0358
2019-07-13 16:56:35,1.0501,0.9462,1.0389,1.0143
2019-07-13 16:56:31,0.7801,1.0408,1.0964,1.0833
2019-07-13 16:56:30,1.0331,1.0223,0.9948,1.029
2019-07-13 16:56:29,1.0269,1.0657,0.9832,1.0397
2019-07-13 16:56:26,0.9596,0.9973,0.9824,1.0051
2019-07-13 16:56:25,1.0418,1.0893,1.2769,1.0667
2019-07-13 16:56:22,1.0264,1.0337,0.9383,1.0199
2019-07-13 16:56:19,1.0712,0.9623,0.9917,1.0467
2019-07-13 16:56:16,1.0057,0.9719,0.9985,1.0401
2019-07-13 16:56:15,1.0623,0.9759,0.9861,1.0345
2019-07-13 16:56:12,1.0549,1.0274,0.963,1.0091
2019-07-13 16:56:11,1.0322,1.0395,1.026,1.0856
2019-07-13 16:56:10,0.8128,1.0097,0.9586,1.146
2019-07-13 16:56:06,1.2018,1.0685,0.9405,1.0521
2019-07-13 16:56:05,1.1797,1.1104,0.9617,1.0184
2019-07-13 16:56:03,1.0888,1.027,0.9735,0.994
2019-07-13 16:56:01,1.1326,0.8726,0.9811,1.0198
2019-07-13 16:55:59,1.1256,1.0454,1.0334,0.9824
2019-07-13 16:55:58,1.0642,0.9447,0.9872,1.0308
2019-07-13 16:55:55,1.2035,1.1596,1.0094,1.0069
