time,left_arm,right_arm,left_leg,right_leg
2019-07-28 16:03:31,0.9435,1.0624,0.9861,1.0366
2019-07-28 16:03:30,0.977,1.13,0.9454,1.0418
2019-07-28 16:03:28,0.5292,1.1345,0.947,0.9852
2019-07-28 16:03:26,1.0341,1.1299,0.9832,1.0376
2019-07-28 16:03:25,0.9957,1.1096,0.9641,1.0994
2019-07-28 16:03:24,1.047,1.6245,0.9831,1.0039
2019-07-28 16:03:23,1.2067,0.9207,1.4301,1.1596
2019-07-28 16:03:21,0.9571,1.3311,1.2863,1.9218
2019-07-28 16:03:20,0.8615,0.9362,0.9694,1.1187
2019-07-28 16:03:19,0.7505,1.3407,1.0319,1.2118
2019-07-28 16:03:18,0.876,0.8675,1.2582,0.9842
2019-07-28 16:03:16,1.025,1.0397,0.9851,1.0434
2019-07-28 16:03:16,1.3991,0.9657,1.0044,1.5842
2019-07-28 16:03:14,1.0846,1.0064,1.2064,1.0399
2019-07-28 16:03:13,0.6313,0.8728,2.2745,1.162
2019-07-28 16:03:10,0.9698,1.1224,1.007,1.045
2019-07-28 16:03:08,0.8508,1.0744,0.9965,1.1015
2019-07-28 16:03:06,0.945,1.1647,1.0183,0.7457
2019-07-28 16:03:05,0.9825,0.9809,1.0029,1.0458
2019-07-28 16:03:04,0.9655,1.0269,0.9888,1.0386
2019-07-28 16:03:03,1.0246,0.9874,0.9977,1.0612
2019-07-28 16:03:02,1.0087,1.0164,0.9976,1.0544
2019-07-28 16:03:00,0.8826,1.0491,1.0018,1.0474
2019-07-28 16:02:58,1.1179,1.0452,0.985,1.1817
2019-07-28 16:02:57,0.9688,0.998,0.9898,1.1124
2019-07-28 16:02:56,1.0242,1.0663,0.9941,1.0889
2019-07-28 16:02:55,0.6504,1.7634,0.9985,1.1841
2019-07-28 16:02:54,0.7453,1.169,0.969,1.1194
2019-07-28 16:02:52,0.8792,1.0592,1.077,1.2485
2019-07-28 16:02:51,0.8696,0.9503,1.0127,1.0948
2019-07-28 16:02:50,0.927,1.0362,1.0188,1.101
2019-07-28 16:02:48,0.942,1.0462,0.9878,1.0661
2019-07-28 16:02:47,0.9565,1.0368,0.9862,1.0595
2019-07-28 16:02:46,0.9225,1.037,0.9908,1.0766
2019-07-28 16:02:44,0.9585,1.0373,0.9817,1.0674
2019-07-28 16:02:43,0.9601,1.0379,0.983,1.0806
2019-07-28 16:02:41,0.6861,1.0243,0.9661,1.0292
2019-07-28 16:02:39,0.8919,1.0463,0.8941,1.0825
