time,left_arm,right_arm,left_leg,right_leg
2019-07-11 12:07:45,1.043,1.0463,0.9281,1.2087
2019-07-11 12:07:42,1.2573,1.1156,1.3699,1.2298
2019-07-11 12:07:30,0.5042,1.1453,1.0072,0.842
2019-07-11 12:07:26,0.9716,0.9785,1.4225,1.6001
2019-07-11 12:07:22,1.0055,0.9222,0.9948,1.0245
2019-07-11 12:07:19,0.8111,1.0716,1.0364,0.8668
2019-07-11 12:07:12,0.9878,0.9909,1.1811,1.0963
2019-07-11 12:07:09,0.9905,0.9935,0.9782,1.0314
2019-07-11 12:07:06,0.9842,0.9877,0.9881,1.0389
2019-07-11 12:07:05,0.9661,0.9933,0.9795,1.0418
2019-07-11 12:07:02,0.9559,0.9974,0.9809,1.048
2019-07-11 12:07:01,0.9681,1.0049,0.987,1.0445
2019-07-11 12:06:58,0.9884,1.0104,0.983,1.0366
2019-07-11 12:06:56,0.9698,0.9986,0.9815,1.0328
2019-07-11 12:06:55,0.9851,1.0179,0.9996,1.039
2019-07-11 12:06:54,0.9281,1.0218,0.9871,1.0395
2019-07-11 12:06:51,0.9508,1.0137,0.9889,1.0365
2019-07-11 12:06:50,0.9606,1.0163,0.9871,1.0365
2019-07-11 12:06:44,0.9816,1.0148,0.9856,1.0366
