time,left_arm,right_arm,left_leg,right_leg
2019-07-13 17:14:21,1.1293,0.3399,0.9816,1.0815
2019-07-13 17:14:19,0.954,1.1654,0.9665,1.1124
2019-07-13 17:14:18,0.7923,0.9254,0.9881,1.0475
2019-07-13 17:14:16,1.0478,0.7994,1.0253,1.0637
2019-07-13 17:14:15,0.9644,0.9888,0.9748,1.0787
2019-07-13 17:14:14,0.7817,0.9756,0.982,1.0707
2019-07-13 17:14:13,0.8035,0.9141,0.9874,1.0516
2019-07-13 17:14:11,1.0332,0.9591,0.9762,1.0485
2019-07-13 17:14:09,0.5802,1.073,1.0992,0.9773
2019-07-13 17:14:08,2.6322,0.9348,0.9782,1.121
2019-07-13 17:14:07,1.005,1.0207,0.9693,1.0379
2019-07-13 17:14:05,0.9571,1.0134,0.994,1.0622
2019-07-13 17:14:04,0.8621,0.9958,0.9964,1.0403
2019-07-13 17:14:02,0.9618,1.0406,1.0109,1.0921
2019-07-13 17:14:00,0.8919,0.9712,0.9925,1.0812
2019-07-13 17:14:00,1.2788,0.9801,0.9914,1.0612
2019-07-13 17:13:58,1.2492,1.0236,0.9992,1.0668
2019-07-13 17:13:57,1.0091,0.6891,0.9974,1.0464
2019-07-13 17:13:56,0.9129,1.1026,0.9683,1.0567
2019-07-13 17:13:55,1.0258,1.093,0.9849,1.0313
2019-07-13 17:13:54,0.9291,1.2193,0.9764,1.065
2019-07-13 17:13:53,0.9494,1.0374,1.0034,1.0858
2019-07-13 17:13:52,0.9679,1.0516,0.9832,1.0387
2019-07-13 17:13:50,1.0093,1.0466,0.9838,1.0496
2019-07-13 17:13:49,0.9894,1.0009,0.991,1.0548
2019-07-13 17:13:47,0.9081,0.9667,0.9828,1.0591
2019-07-13 17:13:47,0.9844,0.9771,0.9794,1.057
2019-07-13 17:13:46,1.0595,1.0286,0.9284,1.0765
2019-07-13 17:13:44,0.901,1.0566,0.9938,1.0667
2019-07-13 17:13:43,0.9741,0.9674,0.9762,1.0644
2019-07-13 17:13:40,0.9318,1.5687,0.9828,1.0411
2019-07-13 17:13:39,0.9595,1.0023,0.9827,1.0487
2019-07-13 17:13:37,0.9209,1.0058,0.9842,1.0724
2019-07-13 17:13:35,0.9471,1.0549,0.9744,1.0511
2019-07-13 17:13:33,0.9197,0.9846,0.977,1.0559
2019-07-13 17:13:32,1.0169,0.9916,0.9859,1.0434
2019-07-13 17:13:30,0.9526,0.8201,0.9904,1.0384
2019-07-13 17:13:28,1.0337,1.0012,0.99,1.0625
2019-07-13 17:13:27,0.8628,0.9702,0.9876,1.0151
2019-07-13 17:13:26,0.9742,0.7185,1.0067,1.066
2019-07-13 17:13:25,0.9056,1.051,0.981,1.046
2019-07-13 17:13:23,0.9087,0.9563,0.9586,1.0657
2019-07-13 17:13:22,0.9043,1.014,0.9647,1.0379
2019-07-13 17:13:21,0.8361,0.9485,0.9836,1.0704
