time,left_arm,right_arm,left_leg,right_leg
2019-07-13 16:33:13,1.0203,1.0939,1.0069,1.0382
2019-07-13 16:33:12,1.457,1.1609,0.9571,1.042
2019-07-13 16:33:10,0.9837,1.032,1.0126,1.0354
2019-07-13 16:33:09,0.933,1.0806,0.9674,1.029
2019-07-13 16:33:08,0.6153,1.0173,0.9787,1.0503
2019-07-13 16:33:06,1.5216,1.0327,0.9742,1.0538
2019-07-13 16:33:04,0.927,0.9756,0.9795,1.0529
2019-07-13 16:33:03,0.9444,0.7707,0.9758,1.0567
2019-07-13 16:33:01,0.9303,1.0257,0.9492,1.0254
2019-07-13 16:32:59,0.841,1.0343,0.9861,1.0469
2019-07-13 16:32:58,0.8778,1.0289,0.9805,1.0567
2019-07-13 16:32:57,1.1001,0.9918,0.9774,1.0591
2019-07-13 16:32:56,0.9278,1.2219,0.9819,1.0457
2019-07-13 16:32:54,0.9122,0.9394,0.9751,1.0416
2019-07-13 16:32:52,0.9612,0.9197,0.9924,1.0583
2019-07-13 16:32:51,0.9637,1.176,0.9636,1.0659
2019-07-13 16:32:50,0.8037,1.005,0.9774,1.0546
2019-07-13 16:32:49,1.0502,0.9354,0.9856,1.0602
2019-07-13 16:32:46,0.9578,0.9623,0.979,1.0569
2019-07-13 16:32:45,0.949,0.963,0.9752,1.0636
2019-07-13 16:32:44,0.9573,0.9623,0.9803,1.0583
2019-07-13 16:32:43,0.9521,0.9705,0.979,1.0583
2019-07-13 16:32:40,0.9463,0.9214,0.975,1.0607
2019-07-13 16:32:37,0.9571,0.9521,0.9753,1.0546
2019-07-13 16:32:36,0.9809,0.9651,0.9815,1.0533
2019-07-13 16:32:35,0.9716,0.965,0.9696,1.051
2019-07-13 16:32:34,0.9586,0.958,0.9781,1.0631
2019-07-13 16:32:33,0.9151,0.8715,0.9767,1.0557
2019-07-13 16:32:32,0.994,0.9691,0.9776,1.0647
2019-07-13 16:32:31,0.8668,0.9815,0.9508,1.0512
2019-07-13 16:32:30,0.9074,0.9959,0.9842,1.0573
2019-07-13 16:32:29,0.929,1.049,0.971,1.0344
2019-07-13 16:32:26,0.9471,0.9448,0.9803,1.0524
2019-07-13 16:32:23,0.9361,0.9151,1.0031,1.0502
