time,left_arm,right_arm,left_leg,right_leg
2019-07-11 12:24:51,1.0538,1.0854,0.9931,1.0433
2019-07-11 12:24:50,0.9651,1.0,0.9901,1.0485
2019-07-11 12:24:49,0.9225,1.0397,0.9988,1.0687
2019-07-11 12:24:47,1.0166,1.157,0.9819,1.0333
2019-07-11 12:24:44,0.9893,1.1625,0.9853,1.0573
2019-07-11 12:24:43,1.5316,1.2132,0.9758,1.0631
2019-07-11 12:24:40,0.917,1.1526,1.0,1.0619
2019-07-11 12:24:39,0.9721,1.1662,0.9848,1.07
2019-07-11 12:24:36,0.7691,1.2249,0.9805,1.032
2019-07-11 12:24:33,1.0166,1.048,1.0188,1.0465
2019-07-11 12:24:26,0.9676,1.0818,0.9903,1.0036
2019-07-11 12:24:23,0.9953,1.1296,1.0065,1.0072
2019-07-11 12:24:22,0.9713,1.07,1.0007,1.034
2019-07-11 12:24:19,0.9548,1.1493,1.0017,1.0318
2019-07-11 12:24:18,1.0223,1.1241,1.0048,1.0049
2019-07-11 12:24:17,0.964,1.1311,1.0061,1.0266
2019-07-11 12:24:13,1.0269,1.2478,1.009,1.0169
2019-07-11 12:24:11,1.1137,1.0018,1.0163,1.0173
2019-07-11 12:24:08,0.9101,0.9084,1.0026,0.9969
2019-07-11 12:24:07,1.058,1.037,1.0032,1.0341
2019-07-11 12:24:02,0.984,1.1032,1.0045,0.994
2019-07-11 12:24:00,1.1014,1.101,0.9968,0.9933
2019-07-11 12:23:55,1.0514,1.1172,0.9987,0.9996
