time,left_arm,right_arm,left_leg,right_leg
2019-07-27 18:51:36,0.9625,1.0238,1.0045,1.0595
2019-07-27 18:51:33,0.7951,1.0269,0.9812,1.0184
2019-07-27 18:51:32,1.1113,1.0563,1.0098,1.107
2019-07-27 18:51:31,1.1089,0.9505,0.9874,1.1673
2019-07-27 18:51:28,0.8268,1.3204,1.0179,1.0947
2019-07-27 18:51:27,1.0232,0.6662,1.0137,1.0335
2019-07-27 18:51:26,0.9938,1.0358,0.9619,1.0234
2019-07-27 18:51:25,0.9715,1.0908,1.015,1.0637
2019-07-27 18:51:24,1.0105,0.9562,0.9485,1.0028
2019-07-27 18:51:21,0.9045,1.2455,0.981,1.0891
2019-07-27 18:51:19,1.0,0.8608,0.9615,1.0151
2019-07-27 18:51:18,0.9147,0.9642,0.9503,0.9929
2019-07-27 18:51:16,0.8941,0.9409,0.9593,0.9606
2019-07-27 18:51:15,0.934,1.0559,1.0059,1.0318
2019-07-27 18:51:12,0.968,1.1855,1.0897,1.0054
2019-07-27 18:51:11,0.9808,0.8846,0.8403,1.017
2019-07-27 18:51:09,0.9565,0.9154,1.0231,1.0483
2019-07-27 18:51:08,1.1612,0.7329,0.9407,1.0678
2019-07-27 18:51:05,1.028,0.9569,0.9932,1.0646
2019-07-27 18:51:04,1.0436,0.8698,1.0105,1.0431
2019-07-27 18:51:02,1.0155,1.0301,0.998,1.0476
2019-07-27 18:51:01,1.0136,0.999,0.9616,1.0481
2019-07-27 18:51:00,0.9791,0.9441,1.0023,1.0756
2019-07-27 18:50:58,0.8877,1.1518,1.0172,1.0254
2019-07-27 18:50:57,0.9451,0.8702,0.9632,1.061
2019-07-27 18:50:56,1.0164,0.9276,0.9625,1.0337
2019-07-27 18:50:55,1.0018,0.951,0.9705,1.0342
2019-07-27 18:50:52,0.985,0.9477,0.9937,1.0558
2019-07-27 18:50:51,1.0097,0.9162,1.0179,1.0648
2019-07-27 18:50:49,0.9826,0.8086,0.9611,1.0963
2019-07-27 18:50:48,1.0242,1.0869,1.0569,0.9972
2019-07-27 18:50:46,0.995,1.0062,0.9742,1.0794
2019-07-27 18:50:45,0.8642,0.949,1.0735,0.9787
2019-07-27 18:50:44,1.1377,1.4999,1.554,1.4321
2019-07-27 18:50:43,1.6372,0.8536,0.7399,1.0648
