time,left_arm,right_arm,left_leg,right_leg
2019-07-28 17:18:50,1.0838,0.9373,0.9959,0.9599
2019-07-28 17:18:49,1.0826,0.9045,1.0009,0.9956
2019-07-28 17:18:47,1.0516,0.9223,1.006,0.9702
2019-07-28 17:18:46,0.9505,0.8936,1.0023,0.9521
2019-07-28 17:18:43,0.9323,0.9643,0.9795,0.9689
2019-07-28 17:18:41,1.0378,0.8879,1.0928,0.9997
2019-07-28 17:18:38,0.9047,0.9852,1.008,1.0511
2019-07-28 17:18:37,0.9682,1.0366,0.976,1.045
2019-07-28 17:18:36,0.9061,1.1147,1.1216,1.0202
2019-07-28 17:18:35,0.9723,0.927,0.8193,1.0273
2019-07-28 17:18:34,1.0605,1.1369,1.0521,1.0347
2019-07-28 17:18:33,1.0232,0.9173,0.7874,1.0591
2019-07-28 17:18:28,0.9705,0.9396,1.114,1.2052
2019-07-28 17:18:24,1.0426,0.9676,1.0372,1.0226
2019-07-28 17:18:21,1.1463,1.5331,0.4836,1.1032
2019-07-28 17:18:20,0.9745,0.9975,0.9998,1.0527
2019-07-28 17:18:19,0.8675,0.7201,1.0109,1.0812
2019-07-28 17:18:17,1.0837,0.9074,1.0173,1.064
2019-07-28 17:18:16,1.0074,0.8973,1.0242,1.0433
2019-07-28 17:18:16,1.15,0.9275,0.9859,1.0561
2019-07-28 17:18:15,1.1044,0.4743,1.0061,1.0702
2019-07-28 17:18:13,1.0957,1.0835,0.9568,1.0808
2019-07-28 17:18:10,1.0299,1.0624,1.0084,1.0163
2019-07-28 17:18:07,0.9946,0.9788,1.0013,1.1099
2019-07-28 17:18:05,1.0257,1.0968,1.0184,1.0946
2019-07-28 17:18:04,1.094,0.7969,1.0312,1.2235
2019-07-28 17:18:02,1.0416,0.9986,1.0526,1.0612
2019-07-28 17:18:00,1.0164,1.0126,1.0153,1.045
2019-07-28 17:17:58,1.0656,0.9793,0.9997,1.0531
2019-07-28 17:17:55,1.0048,1.0954,0.9657,1.0296
2019-07-28 17:17:52,1.0102,1.0742,0.9951,1.0134
2019-07-28 17:17:51,0.9961,1.0876,1.0481,1.0236
2019-07-28 17:17:50,1.0155,1.0402,1.0112,1.0112
2019-07-28 17:17:49,0.9899,1.0535,1.0308,1.0217
2019-07-28 17:17:48,0.9303,1.0441,1.0183,1.0422
2019-07-28 17:17:45,1.149,1.2289,1.0181,1.0185
2019-07-28 17:17:45,0.9979,0.7682,1.041,1.0141
2019-07-28 17:17:43,1.1181,0.8316,1.0559,1.0366
2019-07-28 17:17:41,0.9407,1.1825,1.0267,0.9917
2019-07-28 17:17:39,1.0036,0.9416,0.6799,1.0995
2019-07-28 17:17:35,1.0102,1.0005,1.1051,0.9817
2019-07-28 17:17:32,1.0,0.8856,1.009,0.9841
2019-07-28 17:17:31,1.0161,0.941,1.0161,0.9963
2019-07-28 17:17:29,1.0201,0.868,1.002,0.9701
2019-07-28 17:17:28,1.0627,0.8545,1.0116,0.9987
2019-07-28 17:17:26,1.0143,0.9719,1.0261,0.9141
2019-07-28 17:17:25,0.9976,0.9695,1.0462,0.9388
2019-07-28 17:17:23,0.9938,0.9472,1.0183,0.9747
2019-07-28 17:17:22,0.9281,0.8959,1.0065,0.9618
2019-07-28 17:17:19,1.0036,1.0224,0.9826,0.9505
2019-07-28 17:17:18,1.0317,1.0577,0.8972,0.8643
2019-07-28 17:17:17,1.0759,1.0526,0.9899,0.9446
2019-07-28 17:17:15,0.9758,0.892,1.0397,0.5937
